sif_code,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
SIF-1,2026,,,,,,,1.58,0.51,-0.78,,,
SIF-2,2026,,,,,,,1.58,0.51,-0.78,,,
SIF-3,2026,-3.90,1.13,-8.33,11.40,1.08,3.25,3.63,0.40,-0.85,,,
SIF-4,2026,-3.90,1.13,-8.33,11.40,1.08,3.25,3.63,0.40,-0.85,,,
SIF-5,2026,,,,,,,2.53,0.95,17.12,,,
SIF-6,2026,,,,,,,2.53,0.95,17.12,,,
SIF-7,2026,-1.38,0.48,-0.98,5.97,-1.86,1.57,2.97,0.87,17.02,,,
SIF-8,2026,,,-0.44,5.97,-1.86,1.57,2.98,0.85,17.03,,,
SIF-9,2026,,,,,,,1.31,0.90,0.24,,,
SIF-10,2026,,,,,,,0.84,0.43,0.24,,,
SIF-11,2026,-0.05,0.63,-1.49,2.34,0.88,1.35,1.61,0.83,0.20,,,
SIF-12,2026,-0.05,0.14,-1.97,1.84,0.39,0.87,1.13,0.36,0.20,,,
SIF-13,2026,-1.04,0.88,-1.95,2.04,0.50,1.50,0.57,0.30,-0.74,,,
SIF-14,2026,,,,,,,0.74,0.35,-0.71,,,
SIF-15,2026,,,,,,,0.74,0.35,-0.71,,,
SIF-16,2026,-1.04,0.88,-1.95,2.04,0.51,1.50,0.57,0.30,-0.74,,,
SIF-19,2026,,,,,,,0.02,-1.34,-2.43,,,
SIF-20,2026,,,,,,,0.02,-1.34,-2.43,,,
SIF-21,2026,-1.47,-1.16,-2.36,0.84,-4.00,2.64,-0.28,-1.45,-2.50,,,
SIF-22,2026,-1.47,-1.16,-2.36,0.84,-4.00,2.64,-0.28,-1.45,-2.50,,,
SIF-23,2026,,,,,,,6.15,1.17,-0.45,,,
SIF-24,2026,,,,,,,6.15,1.17,-0.45,,,
SIF-25,2026,-5.13,-0.16,-6.38,12.82,0.50,4.78,7.42,1.12,-0.53,,,
SIF-26,2026,-5.13,-0.16,-6.38,12.82,0.50,4.78,7.42,1.12,-0.53,,,
SIF-27,2026,-1.14,1.58,-6.29,4.25,-0.00,2.12,0.33,-0.45,-0.80,,,
SIF-28,2026,,,,,,,0.42,-0.32,-0.70,,,
SIF-29,2026,-1.14,1.58,-6.29,4.25,-0.00,2.12,0.33,-0.45,-0.80,,,
SIF-30,2026,-1.14,1.58,-6.29,4.25,-0.00,2.12,0.33,-0.45,-0.80,,,
SIF-31,2026,,,,,,,0.42,-0.32,-0.70,,,
SIF-32,2026,,,,,,,0.42,-0.32,-0.70,,,
SIF-33,2026,,-1.20,-7.30,6.97,0.81,2.13,2.77,-0.57,-0.19,,,
