sif_code,nav_date,nav
SIF-120,10-Jul-2026,10.9326
SIF-121,10-Jul-2026,10.9327
SIF-122,10-Jul-2026,10.9161
SIF-123,10-Jul-2026,10.9160
SIF-140,10-Jul-2026,10.3287
SIF-143,10-Jul-2026,10.3191
SIF-144,10-Jul-2026,10.3191
SIF-33,10-Jul-2026,10.31
SIF-34,10-Jul-2026,10.24
SIF-23,10-Jul-2026,10.7319
SIF-25,10-Jul-2026,10.6264
SIF-24,10-Jul-2026,10.7319
SIF-26,10-Jul-2026,10.6264
SIF-107,13-Jul-2026,10.7932
SIF-104,13-Jul-2026,10.7754
SIF-105,13-Jul-2026,10.7346
SIF-106,13-Jul-2026,10.7346
SIF-112,10-Jul-2026,10.1341
SIF-114,10-Jul-2026,10.1154
SIF-115,10-Jul-2026,10.1154
SIF-61,13-Jul-2026,10.502
SIF-75,13-Jul-2026,10.162
SIF-62,13-Jul-2026,10.454
SIF-69,13-Jul-2026,10.323
SIF-71,13-Jul-2026,10.454
SIF-19,13-Jul-2026,951.8728
SIF-20,13-Jul-2026,951.8728
SIF-21,13-Jul-2026,943.0942
SIF-22,13-Jul-2026,943.0942
SIF-57,10-Jul-2026,10.6927
SIF-55,10-Jul-2026,10.6333
SIF-59,10-Jul-2026,10.6333
SIF-95,10-Jul-2026,1012.7154
SIF-94,10-Jul-2026,1012.7154
SIF-96,10-Jul-2026,1009.2493
SIF-97,10-Jul-2026,1009.2493
SIF-127,10-Jul-2026,10.34
SIF-126,10-Jul-2026,10.33
SIF-1,10-Jul-2026,10.9871
SIF-3,10-Jul-2026,10.865
SIF-2,10-Jul-2026,10.9871
SIF-4,10-Jul-2026,10.865
SIF-108,13-Jul-2026,10.752
SIF-111,13-Jul-2026,10.7102
SIF-110,13-Jul-2026,10.7107
SIF-99,10-Jul-2026,10.3725
SIF-100,08-Jun-2026,0.0000
SIF-103,08-Jun-2026,0.0000
SIF-102,10-Jul-2026,10.3416
SIF-98,10-Jul-2026,10.3416
SIF-101,10-Jul-2026,10.3416
SIF-116,10-Jul-2026,10.3595
SIF-117,10-Jul-2026,10.3338
SIF-118,10-Jul-2026,10.3595
SIF-119,10-Jul-2026,10.3338
SIF-125,10-Jul-2026,10.2061
SIF-124,10-Jul-2026,10.1922
SIF-36,10-Jul-2026,10.3331
SIF-35,10-Jul-2026,10.2696
SIF-88,10-Jul-2026,10.4103
SIF-86,10-Jul-2026,10.4103
SIF-87,10-Jul-2026,10.3707
SIF-89,10-Jul-2026,10.3707
SIF-92,10-Jul-2026,10.7997
SIF-91,10-Jul-2026,10.7596
SIF-90,10-Jul-2026,10.7997
SIF-93,10-Jul-2026,10.7596
SIF-9,10-Jul-2026,10.8983
SIF-10,10-Jul-2026,10.6389
SIF-11,10-Jul-2026,10.8210
SIF-12,10-Jul-2026,10.5619
SIF-83,10-Jul-2026,10.3839
SIF-80,10-Jul-2026,10.3501
SIF-81,20-Apr-2026,10.08
SIF-79,10-Jul-2026,10.3841
SIF-51,13-Jul-2026,10.24
SIF-54,13-Jul-2026,10.335
SIF-48,13-Jul-2026,10.333
SIF-40,13-Jul-2026,10.313
SIF-44,13-Jul-2026,10.313
SIF-129,13-Jul-2026,10.0646
SIF-130,13-Jul-2026,10.0647
SIF-128,13-Jul-2026,10.0601
SIF-145,10-Jul-2026,10.078
SIF-148,10-Jul-2026,10.078
SIF-146,10-Jul-2026,10.077
SIF-147,10-Jul-2026,10.077
SIF-14,10-Jul-2026,10.5036
SIF-15,10-Jul-2026,10.5096
SIF-13,10-Jul-2026,10.4483
SIF-16,10-Jul-2026,10.4474
SIF-134,10-Jul-2026,10.125
SIF-135,10-Jul-2026,10.126
SIF-136,10-Jul-2026,10.114
SIF-137,10-Jul-2026,10.114
SIF-5,10-Jul-2026,10.7412
SIF-7,10-Jul-2026,10.6181
SIF-6,10-Jul-2026,10.7412
SIF-8,10-Jul-2026,10.7953
SIF-32,10-Jul-2026,10.2449
SIF-31,10-Jul-2026,10.2449
SIF-28,10-Jul-2026,10.2449
SIF-29,10-Jul-2026,10.1388
SIF-30,10-Jul-2026,10.1388
SIF-27,10-Jul-2026,10.1388
