sif_code,nav_date,nav
SIF-120,06-Aug-2026,11.0446
SIF-121,06-Aug-2026,11.0447
SIF-122,06-Aug-2026,11.0149
SIF-123,06-Aug-2026,11.0147
SIF-140,06-Aug-2026,10.8703
SIF-143,06-Aug-2026,10.8441
SIF-144,06-Aug-2026,10.8441
SIF-33,06-Aug-2026,10.44
SIF-34,06-Aug-2026,10.37
SIF-23,06-Aug-2026,11.543
SIF-25,06-Aug-2026,11.4175
SIF-24,06-Aug-2026,11.543
SIF-26,06-Aug-2026,11.4175
SIF-107,06-Aug-2026,10.9637
SIF-104,06-Aug-2026,10.9397
SIF-105,06-Aug-2026,10.883
SIF-106,06-Aug-2026,10.8839
SIF-112,06-Aug-2026,10.1997
SIF-114,06-Aug-2026,10.1700
SIF-115,06-Aug-2026,10.1700
SIF-61,06-Aug-2026,10.606
SIF-75,06-Aug-2026,10.253
SIF-62,06-Aug-2026,10.547
SIF-69,06-Aug-2026,10.415
SIF-71,06-Aug-2026,10.547
SIF-19,06-Aug-2026,951.8865
SIF-20,06-Aug-2026,951.8865
SIF-21,06-Aug-2026,942.2018
SIF-22,06-Aug-2026,942.2018
SIF-57,06-Aug-2026,10.8345
SIF-55,06-Aug-2026,10.7623
SIF-59,06-Aug-2026,10.7623
SIF-95,06-Aug-2026,1026.7179
SIF-94,06-Aug-2026,1026.7179
SIF-96,06-Aug-2026,1021.8935
SIF-97,06-Aug-2026,1021.8935
SIF-149,06-Aug-2026,10.34
SIF-151,06-Aug-2026,10.34
SIF-150,06-Aug-2026,10.33
SIF-152,06-Aug-2026,10.33
SIF-127,06-Aug-2026,10.67
SIF-126,06-Aug-2026,10.64
SIF-1,06-Aug-2026,11.1664
SIF-3,06-Aug-2026,11.0304
SIF-2,06-Aug-2026,11.1664
SIF-4,06-Aug-2026,11.0304
SIF-108,06-Aug-2026,10.8196
SIF-111,06-Aug-2026,10.763
SIF-110,06-Aug-2026,10.7636
SIF-99,06-Aug-2026,10.5948
SIF-100,08-Jun-2026,0.0000
SIF-103,08-Jun-2026,0.0000
SIF-102,06-Aug-2026,10.5485
SIF-98,06-Aug-2026,10.5485
SIF-101,06-Aug-2026,10.5485
SIF-116,06-Aug-2026,10.1602
SIF-117,06-Aug-2026,10.123
SIF-118,06-Aug-2026,10.1602
SIF-119,06-Aug-2026,10.123
SIF-125,05-Aug-2026,10.3735
SIF-124,05-Aug-2026,10.3490
SIF-36,06-Aug-2026,10.7136
SIF-35,06-Aug-2026,10.6369
SIF-88,05-Aug-2026,10.5117
SIF-86,05-Aug-2026,10.5117
SIF-87,05-Aug-2026,10.4620
SIF-89,05-Aug-2026,10.4620
SIF-92,06-Aug-2026,11.5839
SIF-91,06-Aug-2026,11.5281
SIF-90,06-Aug-2026,11.5839
SIF-93,06-Aug-2026,11.5281
SIF-9,06-Aug-2026,11.0461
SIF-10,06-Aug-2026,10.7327
SIF-11,06-Aug-2026,10.9600
SIF-12,06-Aug-2026,10.6472
SIF-83,06-Aug-2026,10.6763
SIF-80,06-Aug-2026,10.6322
SIF-81,06-Aug-2026,10.6322
SIF-79,06-Aug-2026,10.6765
SIF-51,06-Aug-2026,10.284
SIF-54,06-Aug-2026,10.38
SIF-48,06-Aug-2026,10.378
SIF-40,06-Aug-2026,10.355
SIF-44,06-Aug-2026,10.355
SIF-129,06-Aug-2026,10.1323
SIF-130,06-Aug-2026,10.1327
SIF-128,06-Aug-2026,10.1237
SIF-139,06-Aug-2026,10.1014
SIF-138,06-Aug-2026,10.0947
SIF-145,06-Aug-2026,10.21
SIF-148,06-Aug-2026,10.21
SIF-146,06-Aug-2026,10.2
SIF-147,06-Aug-2026,10.2
SIF-14,06-Aug-2026,10.5532
SIF-15,06-Aug-2026,10.5593
SIF-13,06-Aug-2026,10.4929
SIF-16,06-Aug-2026,10.4920
SIF-134,06-Aug-2026,10.228
SIF-135,06-Aug-2026,10.229
SIF-136,06-Aug-2026,10.207
SIF-137,06-Aug-2026,10.207
SIF-5,06-Aug-2026,11.0608
SIF-7,06-Aug-2026,10.9221
SIF-6,06-Aug-2026,11.0608
SIF-8,06-Aug-2026,11.1044
SIF-32,06-Aug-2026,10.3101
SIF-31,06-Aug-2026,10.3101
SIF-28,06-Aug-2026,10.3101
SIF-29,06-Aug-2026,10.1898
SIF-30,06-Aug-2026,10.1898
SIF-27,06-Aug-2026,10.1898
