sif_code,nav_date,nav,AUM
SIF-120,24-Sep-2026,10.8619,2975.25
SIF-121,24-Sep-2026,10.8619,13.77
SIF-122,24-Sep-2026,10.8107,6138.22
SIF-123,24-Sep-2026,10.8104,30.41
SIF-155,24-Sep-2026,10.01,
SIF-156,24-Sep-2026,9.99,
SIF-140,24-Sep-2026,11.3011,191.86
SIF-141,24-Sep-2026,11.3011,
SIF-143,24-Sep-2026,11.2442,469.82
SIF-144,24-Sep-2026,11.2442,1.69
SIF-33,24-Sep-2026,10.32,58363.39
SIF-34,24-Sep-2026,10.23,104320.21
SIF-159,24-Sep-2026,9.9251,
SIF-160,24-Sep-2026,9.9251,
SIF-157,24-Sep-2026,9.9151,
SIF-158,24-Sep-2026,9.9151,
SIF-23,24-Sep-2026,11.5852,10675.99
SIF-25,24-Sep-2026,11.4453,8780.59
SIF-24,24-Sep-2026,11.5852,2846.08
SIF-26,24-Sep-2026,11.4453,69.41
SIF-107,24-Sep-2026,10.6365,77.30
SIF-104,24-Sep-2026,10.6132,6.20
SIF-105,24-Sep-2026,10.5297,986.59
SIF-106,24-Sep-2026,10.5305,3.86
SIF-153,24-Sep-2026,9.89,
SIF-154,24-Sep-2026,9.88,
SIF-112,24-Sep-2026,9.7792,77.21
SIF-114,24-Sep-2026,9.7336,4898.28
SIF-115,24-Sep-2026,9.7336,4.09
SIF-61,24-Sep-2026,10.295,
SIF-75,24-Sep-2026,9.931,1.09
SIF-62,24-Sep-2026,10.216,6411.82
SIF-69,24-Sep-2026,10.088,16.19
SIF-71,24-Sep-2026,10.216,10.13
SIF-19,24-Sep-2026,900.5426,15304.83
SIF-20,24-Sep-2026,900.5426,9.40
SIF-21,24-Sep-2026,889.6330,23403.71
SIF-22,24-Sep-2026,889.6330,70.25
SIF-57,24-Sep-2026,10.3893,6672.40
SIF-60,24-Sep-2026,10.3893,
SIF-55,24-Sep-2026,10.2993,18524.85
SIF-59,24-Sep-2026,10.2993,3.98
SIF-127,24-Sep-2026,10.76,2957.85
SIF-126,24-Sep-2026,10.71,3914.62
SIF-1,24-Sep-2026,11.1092,34219.94
SIF-3,24-Sep-2026,10.9539,21626.58
SIF-2,24-Sep-2026,11.1092,1891.16
SIF-4,24-Sep-2026,10.9539,107.01
SIF-95,24-Sep-2026,980.4344,9683.67
SIF-94,24-Sep-2026,980.4344,27.25
SIF-96,24-Sep-2026,973.5617,989.09
SIF-97,24-Sep-2026,973.5617,6.90
SIF-149,24-Sep-2026,10.41,
SIF-151,24-Sep-2026,10.42,
SIF-150,24-Sep-2026,10.38,
SIF-152,24-Sep-2026,10.38,
SIF-99,24-Sep-2026,10.4266,2622.52
SIF-100,24-Sep-2026,9.8413,
SIF-103,24-Sep-2026,9.8413,
SIF-102,24-Sep-2026,10.3548,8822.95
SIF-98,24-Sep-2026,10.3548,
SIF-101,24-Sep-2026,10.3548,15.92
SIF-108,24-Sep-2026,10.3528,106.73
SIF-111,24-Sep-2026,10.271,992.65
SIF-110,24-Sep-2026,10.2715,3.09
SIF-116,24-Sep-2026,10.4653,1488.90
SIF-117,24-Sep-2026,10.405,424.18
SIF-118,24-Sep-2026,10.4653,16.81
SIF-119,24-Sep-2026,10.405,14.30
SIF-88,23-Sep-2026,10.5798,5761.98
SIF-86,23-Sep-2026,10.5798,10.18
SIF-87,23-Sep-2026,10.5110,12347.04
SIF-89,23-Sep-2026,10.5110,10.16
SIF-125,23-Sep-2026,10.4491,4219.47
SIF-124,23-Sep-2026,10.4047,11299.70
SIF-92,24-Sep-2026,13.4064,150.77
SIF-91,24-Sep-2026,13.3163,19.31
SIF-90,24-Sep-2026,13.4064,3752.11
SIF-93,24-Sep-2026,13.3163,1143.81
SIF-9,24-Sep-2026,11.1168,269251.71
SIF-10,24-Sep-2026,10.7516,8326.01
SIF-11,24-Sep-2026,11.0180,146725.84
SIF-12,24-Sep-2026,10.6533,330.72
SIF-83,24-Sep-2026,10.8034,10.43
SIF-80,24-Sep-2026,10.7419,5086.36
SIF-81,24-Sep-2026,10.7418,2.10
SIF-79,24-Sep-2026,10.8036,2281.51
SIF-51,24-Sep-2026,10.318,9.42
SIF-54,24-Sep-2026,10.415,5211.65
SIF-48,24-Sep-2026,10.412,10.17
SIF-43,24-Sep-2026,10.023,
SIF-40,24-Sep-2026,10.383,5846.08
SIF-44,24-Sep-2026,10.383,11.10
SIF-145,24-Sep-2026,10.38,
SIF-148,24-Sep-2026,10.38,
SIF-146,24-Sep-2026,10.354,
SIF-147,24-Sep-2026,10.354,
SIF-36,24-Sep-2026,10.5073,31862.76
SIF-35,24-Sep-2026,10.4136,50858.68
SIF-14,24-Sep-2026,10.4625,174995.47
SIF-15,24-Sep-2026,10.4685,1524.53
SIF-13,24-Sep-2026,10.3942,173724.47
SIF-16,24-Sep-2026,10.3933,441.58
SIF-134,24-Sep-2026,10.140,646.54
SIF-135,24-Sep-2026,10.140,19.69
SIF-136,24-Sep-2026,10.100,3504.14
SIF-137,24-Sep-2026,10.100,72.99
SIF-139,24-Sep-2026,10.2574,
SIF-138,24-Sep-2026,10.2347,
SIF-5,24-Sep-2026,13.3623,12636.28
SIF-7,24-Sep-2026,13.1729,2452.04
SIF-6,24-Sep-2026,13.3623,319.14
SIF-8,24-Sep-2026,13.3911,21.86
SIF-129,24-Sep-2026,10.2381,2707.94
SIF-130,24-Sep-2026,10.2388,1.32
SIF-128,24-Sep-2026,10.2207,4763.76
SIF-32,24-Sep-2026,10.1394,18223.60
SIF-31,24-Sep-2026,10.1394,
SIF-28,24-Sep-2026,10.1394,93.49
SIF-29,24-Sep-2026,9.9969,35457.39
SIF-30,24-Sep-2026,9.9969,
SIF-27,24-Sep-2026,9.9969,121.83
