sif_code,nav_date,nav
SIF-36,09-Jul-2026,10.2573
SIF-36,10-Jul-2026,10.3331
SIF-36,13-Jul-2026,10.3357
SIF-36,14-Jul-2026,10.2514
SIF-36,15-Jul-2026,10.3192
SIF-36,16-Jul-2026,10.3097
SIF-36,17-Jul-2026,10.3732
SIF-36,21-Jul-2026,10.3585
SIF-36,22-Jul-2026,10.2895
SIF-36,23-Jul-2026,10.2494
SIF-36,24-Jul-2026,10.2234
SIF-36,27-Jul-2026,10.3101
SIF-36,28-Jul-2026,10.3192
SIF-36,29-Jul-2026,10.3934
SIF-36,30-Jul-2026,10.4664
SIF-36,31-Jul-2026,10.5476
SIF-36,03-Aug-2026,10.6740
SIF-36,04-Aug-2026,10.6524
SIF-36,05-Aug-2026,10.6969
SIF-36,06-Aug-2026,10.7136
SIF-36,07-Aug-2026,10.7266
SIF-36,10-Aug-2026,10.7497
SIF-36,11-Aug-2026,10.7360
SIF-36,12-Aug-2026,10.7322
SIF-36,13-Aug-2026,10.7438
SIF-36,14-Aug-2026,10.7183
SIF-36,17-Aug-2026,10.7421
SIF-36,18-Aug-2026,10.7365
