sif_code,nav_date,nav
SIF-120,09-Jul-2026,10.8032
SIF-121,09-Jul-2026,10.8033
SIF-122,09-Jul-2026,10.7875
SIF-123,09-Jul-2026,10.7874
SIF-140,09-Jul-2026,10.1605
SIF-143,09-Jul-2026,10.1516
SIF-144,09-Jul-2026,10.1516
SIF-33,09-Jul-2026,10.23
SIF-34,09-Jul-2026,10.16
SIF-23,09-Jul-2026,10.6612
SIF-25,09-Jul-2026,10.5568
SIF-24,09-Jul-2026,10.6612
SIF-26,09-Jul-2026,10.5568
SIF-107,09-Jul-2026,10.6048
SIF-104,09-Jul-2026,10.5873
SIF-105,09-Jul-2026,10.5495
SIF-106,09-Jul-2026,10.5495
SIF-112,09-Jul-2026,10.0633
SIF-114,09-Jul-2026,10.0451
SIF-115,09-Jul-2026,10.0451
SIF-61,09-Jul-2026,10.407
SIF-75,09-Jul-2026,10.073
SIF-62,09-Jul-2026,10.362
SIF-69,09-Jul-2026,10.232
SIF-71,09-Jul-2026,10.362
SIF-19,09-Jul-2026,942.7155
SIF-20,09-Jul-2026,942.7155
SIF-21,09-Jul-2026,934.1709
SIF-22,09-Jul-2026,934.1709
SIF-57,09-Jul-2026,10.6417
SIF-55,09-Jul-2026,10.5830
SIF-59,09-Jul-2026,10.5830
SIF-95,09-Jul-2026,1000.5518
SIF-94,09-Jul-2026,1000.5518
SIF-96,09-Jul-2026,997.1748
SIF-97,09-Jul-2026,997.1748
SIF-127,09-Jul-2026,10.22
SIF-126,09-Jul-2026,10.21
SIF-1,09-Jul-2026,10.902
SIF-3,09-Jul-2026,10.7813
SIF-2,09-Jul-2026,10.902
SIF-4,09-Jul-2026,10.7813
SIF-108,09-Jul-2026,10.5089
SIF-111,09-Jul-2026,10.4708
SIF-110,09-Jul-2026,10.4708
SIF-99,09-Jul-2026,10.2760
SIF-100,08-Jun-2026,0.0000
SIF-103,08-Jun-2026,0.0000
SIF-102,09-Jul-2026,10.2459
SIF-98,09-Jul-2026,10.2459
SIF-101,09-Jul-2026,10.2459
SIF-116,09-Jul-2026,10.3216
SIF-117,09-Jul-2026,10.2965
SIF-118,09-Jul-2026,10.3216
SIF-119,09-Jul-2026,10.2965
SIF-125,09-Jul-2026,10.1623
SIF-124,09-Jul-2026,10.1489
SIF-36,09-Jul-2026,10.2573
SIF-35,09-Jul-2026,10.1946
SIF-88,09-Jul-2026,10.3842
SIF-86,09-Jul-2026,10.3842
SIF-87,09-Jul-2026,10.3450
SIF-89,09-Jul-2026,10.3450
SIF-92,09-Jul-2026,10.7271
SIF-91,09-Jul-2026,10.6878
SIF-90,09-Jul-2026,10.7271
SIF-93,09-Jul-2026,10.6878
SIF-9,09-Jul-2026,10.8603
SIF-10,09-Jul-2026,10.6018
SIF-11,09-Jul-2026,10.7835
SIF-12,09-Jul-2026,10.5253
SIF-83,09-Jul-2026,10.3524
SIF-80,09-Jul-2026,10.3189
SIF-81,20-Apr-2026,10.08
SIF-79,09-Jul-2026,10.3526
SIF-51,09-Jul-2026,10.232
SIF-54,09-Jul-2026,10.327
SIF-48,09-Jul-2026,10.325
SIF-40,09-Jul-2026,10.305
SIF-44,09-Jul-2026,10.305
SIF-129,09-Jul-2026,10.0634
SIF-130,09-Jul-2026,10.0635
SIF-128,09-Jul-2026,10.0597
SIF-145,09-Jul-2026,10.061
SIF-148,09-Jul-2026,10.061
SIF-146,09-Jul-2026,10.06
SIF-147,09-Jul-2026,10.06
SIF-14,09-Jul-2026,10.4512
SIF-15,09-Jul-2026,10.4572
SIF-13,09-Jul-2026,10.3964
SIF-16,09-Jul-2026,10.3955
SIF-134,09-Jul-2026,10.098
SIF-135,09-Jul-2026,10.098
SIF-136,09-Jul-2026,10.087
SIF-137,09-Jul-2026,10.087
SIF-5,09-Jul-2026,10.667
SIF-7,09-Jul-2026,10.5452
SIF-6,09-Jul-2026,10.667
SIF-8,09-Jul-2026,10.7212
SIF-32,09-Jul-2026,10.1924
SIF-31,09-Jul-2026,10.1924
SIF-28,09-Jul-2026,10.1924
SIF-29,09-Jul-2026,10.0874
SIF-30,09-Jul-2026,10.0874
SIF-27,09-Jul-2026,10.0874
